Num,BEARID,Sex,Date,Time,Lat,Lon
100,1130,F,20050608,16:00:00,68.734,-133.1389
101,1130,F,20050608,20:00:00,68.7341,-133.1387
102,1130,F,20050609,0:01:00,68.7324,-133.1721
103,1130,F,20050609,12:00:00,68.7406,-133.1693
104,1130,F,20050609,16:01:00,68.746,-133.1562
105,1130,F,20050609,20:00:00,68.7991,-133.1912
106,1130,F,20050610,0:00:00,68.8063,-133.221
107,1130,F,20050610,8:00:00,68.8417,-133.1999
108,1130,F,20050610,12:01:00,68.8417,-133.1999
109,1130,F,20050610,16:01:00,68.8453,-133.2095
110,1130,F,20050610,20:00:00,68.8402,-133.2429
111,1130,F,20050611,0:01:00,68.8069,-133.2438
112,1130,F,20050611,8:00:00,68.8398,-133.3923
113,1130,F,20050611,12:00:00,68.8399,-133.3919
114,1130,F,20050611,16:01:00,68.8302,-133.4093
115,1130,F,20050611,20:00:00,68.8248,-133.4096
116,1130,F,20050612,0:00:00,68.826,-133.3975
117,1130,F,20050612,12:00:00,68.6969,-133.9182
118,1130,F,20050612,16:01:00,68.6887,-133.9798
119,1130,F,20050612,20:00:00,68.68,-134.1293
120,1130,F,20050613,0:01:00,68.6803,-134.1294
121,1130,F,20050613,4:01:00,68.679,-134.1235
122,1130,F,20050613,12:02:00,68.6777,-134.1109
123,1130,F,20050613,16:00:00,68.6776,-134.122
124,1130,F,20050613,20:00:00,68.6816,-134.1308
125,1130,F,20050614,0:01:00,68.6758,-134.1272
126,1130,F,20050614,8:01:00,68.6701,-134.1284
127,1130,F,20050614,12:02:00,68.6701,-134.1262
128,1130,F,20050614,16:01:00,68.6691,-134.1251
129,1130,F,20050614,20:01:00,68.665,-134.1051
130,1130,F,20050615,0:01:00,68.6669,-134.102
131,1130,F,20050615,4:01:00,68.6739,-134.1208
132,1130,F,20050615,8:00:00,68.674,-134.1274
133,1130,F,20050615,12:00:00,68.6729,-134.1275
134,1130,F,20050615,16:01:00,68.6729,-134.1275
135,1130,F,20050615,20:00:00,68.6733,-134.1269
136,1130,F,20050616,0:01:00,68.6773,-134.1249
137,1130,F,20050617,0:03:00,68.6706,-134.1113
138,1130,F,20050617,8:01:00,68.6771,-134.1249
139,1130,F,20050617,12:01:00,68.6773,-134.125
140,1130,F,20050617,16:01:00,68.6761,-134.1281
141,1130,F,20050617,20:01:00,68.6704,-134.1261
142,1130,F,20050618,8:02:00,68.6434,-134.0514
143,1130,F,20050618,12:01:00,68.6374,-134.049
144,1130,F,20050618,20:00:00,68.6206,-134.0473
145,1130,F,20050619,0:01:00,68.6105,-133.9934
146,1130,F,20050619,8:00:00,68.5661,-133.8748
147,1130,F,20050619,12:00:00,68.5676,-133.8651
148,1130,F,20050619,16:01:00,68.5684,-133.8746
149,1130,F,20050619,20:01:00,68.574,-133.8516
150,1130,F,20050620,0:02:00,68.573,-133.812
151,1130,F,20050620,8:01:00,68.5311,-133.6925
152,1130,F,20050620,12:01:00,68.5221,-133.679
153,1130,F,20050620,16:00:00,68.52,-133.681
154,1130,F,20050620,20:00:00,68.5126,-133.6808
155,1130,F,20050621,0:01:00,68.5093,-133.6757
156,1130,F,20050621,8:01:00,68.5061,-133.6365
157,1130,F,20050621,12:00:00,68.501,-133.6419
158,1130,F,20050621,16:00:00,68.4924,-133.6344
