Num,BEARID,Sex,Date,Time,Lat,Lon
1,1016,F,20030601,13:58:00,69.0533,-134.1424
2,1016,F,20030602,0:01:06,69.0545,-134.1405
3,1016,F,20030602,4:01:01,69.0542,-134.1404
4,1016,F,20030602,8:01:07,69.0547,-134.1403
5,1016,F,20030602,12:01:00,69.0543,-134.1405
6,1016,F,20030602,16:01:06,69.0546,-134.1408
7,1016,F,20030602,20:00:38,69.0546,-134.1407
8,1016,F,20030603,0:01:35,69.0544,-134.1407
9,1016,F,20030603,4:00:55,69.0545,-134.1406
10,1016,F,20030603,8:00:38,69.0651,-134.134
11,1016,F,20030603,12:01:07,69.0796,-133.944
12,1016,F,20030603,16:00:38,69.1247,-133.9439
13,1016,F,20030603,20:00:42,69.1424,-133.9092
14,1016,F,20030604,0:00:38,69.1425,-133.9092
15,1016,F,20030604,4:00:39,69.1425,-133.9092
16,1016,F,20030604,8:00:38,69.1643,-133.9962
17,1016,F,20030604,12:01:06,69.1644,-133.9961
18,1016,F,20030604,16:00:38,69.1634,-133.9992
19,1016,F,20030604,20:00:37,69.1616,-133.9786
20,1016,F,20030605,0:00:37,69.1611,-133.9766
21,1016,F,20030605,4:00:38,69.1642,-133.9963
22,1016,F,20030605,8:00:38,69.1647,-133.9949
23,1016,F,20030605,12:00:38,69.1654,-134.0201
24,1016,F,20030605,16:00:38,69.219,-134.0349
25,1016,F,20030605,20:00:38,69.2503,-133.8923
26,1016,F,20030606,0:00:38,69.2501,-133.8924
27,1016,F,20030606,4:00:38,69.2261,-133.8324
28,1016,F,20030606,8:01:06,69.1723,-133.7505
29,1016,F,20030606,12:00:38,69.1322,-133.6787
30,1016,F,20030606,16:00:38,69.1065,-133.662
31,1016,F,20030606,20:00:38,69.1064,-133.6622
32,1016,F,20030607,0:00:38,69.0817,-133.6382
33,1016,F,20030607,4:00:38,69.0709,-133.6739
34,1016,F,20030607,8:00:37,69.0686,-133.7633
35,1016,F,20030607,12:00:38,69.0685,-133.7832
36,1016,F,20030607,16:00:38,69.0851,-133.9063
37,1016,F,20030607,20:01:01,69.0874,-133.9255
38,1016,F,20030608,0:00:55,69.1121,-133.9288
39,1016,F,20030608,4:00:38,69.1121,-133.9288
40,1016,F,20030608,8:00:38,69.1136,-133.926
41,1016,F,20030608,12:01:22,69.1136,-133.9258
42,1016,F,20030608,16:01:54,69.1134,-133.9254
43,1016,F,20030608,20:00:38,69.114,-133.937
44,1016,F,20030609,0:00:37,69.1161,-133.9399
45,1016,F,20030609,4:00:38,69.1076,-133.9303
46,1016,F,20030609,8:00:38,69.1188,-133.9354
47,1016,F,20030609,12:00:38,69.089,-133.9256
48,1016,F,20030609,16:00:38,69.0888,-133.9266
49,1016,F,20030609,20:00:38,69.0871,-133.9242
50,1016,F,20030610,0:01:30,69.0631,-133.9385
51,1016,F,20030610,4:00:38,69.0358,-134.0303
52,1016,F,20030610,8:00:38,69.0358,-134.0595
53,1016,F,20030610,12:00:38,69.0376,-134.0596
54,1016,F,20030610,16:01:36,69.0102,-133.958
55,1016,F,20030610,20:00:38,69.037,-133.6141
56,1016,F,20030611,0:00:37,69.0531,-133.5654
57,1016,F,20030611,4:00:38,69.053,-133.5653
58,1016,F,20030611,8:00:37,69.0526,-133.5629
59,1016,F,20030611,12:00:38,69.0531,-133.5654
60,1016,F,20030611,16:01:06,69.0531,-133.5651
61,1016,F,20030611,20:00:38,69.0412,-133.5739
62,1016,F,20030612,0:00:37,69.0534,-133.5638
63,1016,F,20030612,4:00:55,69.052,-133.5665
64,1016,F,20030612,8:00:38,69.0452,-133.5638
65,1016,F,20030612,12:01:02,69.0366,-133.5782
66,1016,F,20030612,16:01:07,69.0363,-133.5806
67,1016,F,20030612,20:00:38,69.0576,-133.7333
68,1016,F,20030613,0:00:37,69.0534,-133.7788
69,1016,F,20030613,4:00:38,69.0828,-133.9065
70,1016,F,20030613,8:00:38,69.0887,-133.9261
71,1016,F,20030613,12:00:38,69.0887,-133.9257
