Num,BEARID,Sex,Date,Time,Lat,Lon,r,dt
79,1046,M,20030620,20:00:00,69.0008,-134.8037,0.014836779,4
80,1046,M,20030621,0:01:00,68.9877,-134.7773,0.029471512,4
81,1046,M,20030621,4:01:00,68.9881,-134.8079,0.030602614,4
82,1046,M,20030621,12:01:00,68.9781,-134.7816,0.028136986,8
83,1046,M,20030621,16:01:00,68.986,-134.77,0.0140346,4
84,1046,M,20030621,20:01:00,68.9938,-134.7818,0.014144964,4
85,1046,M,20030622,4:01:00,69.0034,-134.7035,0.078886311,8
86,1046,M,20030622,8:00:00,69.0021,-134.7013,0.002555386,4
87,1046,M,20030622,16:01:00,69.0025,-134.7002,0.00117047,8
88,1046,M,20030622,20:00:00,69.0045,-134.6963,0.004382921,4
89,1046,M,20030623,4:01:00,69.0052,-134.6938,0.002596151,8
90,1046,M,20030623,8:01:00,69.0025,-134.6749,0.019091883,4
91,1046,M,20030623,12:01:00,69.0025,-134.675,0.0001,4
92,1046,M,20030623,16:01:00,69.0029,-134.6764,0.001456022,4
93,1046,M,20030623,20:01:00,69.0034,-134.6777,0.001392839,4
94,1046,M,20030624,0:01:00,69.0026,-134.675,0.002816026,4
95,1046,M,20030624,4:01:00,69.0026,-134.6759,0.0009,4
96,1046,M,20030624,8:00:00,69.0025,-134.6807,0.004801042,4
97,1046,M,20030624,16:01:00,69.0303,-134.7286,0.055382759,8
98,1046,M,20030624,20:00:00,69.0753,-134.7284,0.045000444,4
99,1046,M,20030625,0:00:00,69.0752,-134.7288,0.000412311,4
100,1046,M,20030625,4:00:00,69.0739,-134.732,0.003453983,4
101,1046,M,20030625,8:00:00,69.0702,-134.7115,0.020831227,4
102,1046,M,20030625,12:00:00,69.0727,-134.7318,0.020453362,4
103,1046,M,20030625,16:00:00,69.0727,-134.7318,0,4
104,1046,M,20030625,20:00:00,69.07,-134.7131,0.018893914,4
105,1046,M,20030626,0:01:00,69.0741,-134.6283,0.084899058,4
106,1046,M,20030626,4:01:00,69.0743,-134.6237,0.004604346,4
107,1046,M,20030626,8:02:00,69.0695,-134.6237,0.0048,4
108,1046,M,20030626,12:01:00,69.0571,-134.6861,0.063620123,4
109,1046,M,20030626,16:00:00,69.046,-134.7012,0.018740864,4
110,1046,M,20030626,20:00:00,69.0416,-134.7082,0.008268011,4
111,1046,M,20030627,0:01:00,69.0405,-134.7083,0.001104536,4
112,1046,M,20030627,4:00:00,69.015,-134.6869,0.033289788,4
113,1046,M,20030627,8:00:00,69.0114,-134.6845,0.004326662,4
114,1046,M,20030627,12:00:00,69.0127,-134.6872,0.002996665,4
115,1046,M,20030627,16:01:00,69.0133,-134.6856,0.001708801,4
116,1046,M,20030627,20:00:00,69.0139,-134.684,0.001708801,4
117,1046,M,20030628,0:02:00,69.0138,-134.6843,0.000316228,4
118,1046,M,20030628,4:00:00,69.0131,-134.685,0.000989949,4
119,1046,M,20030628,8:00:00,69.013,-134.6861,0.001104536,4
120,1046,M,20030628,12:01:00,69.0152,-134.6933,0.007528612,4
121,1046,M,20030628,16:02:00,69.0144,-134.705,0.011727319,4
122,1046,M,20030628,20:00:00,69.0148,-134.6927,0.012306502,4
123,1046,M,20030629,0:00:00,69.0148,-134.6886,0.0041,4
124,1046,M,20030629,4:01:00,69.0141,-134.6868,0.001931321,4
125,1046,M,20030629,8:02:00,69.0151,-134.6931,0.006378871,4
126,1046,M,20030629,12:01:00,69.015,-134.6886,0.004501111,4
127,1046,M,20030629,16:01:00,69.0148,-134.6884,0.000282843,4
128,1046,M,20030629,20:00:00,69.0148,-134.6885,0.0001,4
129,1046,M,20030630,0:01:00,69.0148,-134.6884,0.0001,4
130,1046,M,20030630,4:00:00,69.0149,-134.692,0.003601389,4
131,1046,M,20030630,8:01:00,69.0234,-134.7132,0.022840534,4
132,1046,M,20030630,12:01:00,69.062,-134.7018,0.04024823,4
133,1046,M,20030630,16:01:00,69.0863,-134.6564,0.051494174,4
134,1046,M,20030630,20:02:00,69.0877,-134.6523,0.004332436,4
135,1046,M,20030701,0:01:00,69.0866,-134.6569,0.004729693,1684
136,1046,M,20030701,4:00:00,69.0861,-134.6591,0.002256103,4
137,1046,M,20030701,8:00:00,69.0863,-134.6585,0.000632456,4
138,1046,M,20030701,12:01:00,69.0879,-134.6554,0.003488553,4
139,1046,M,20030701,16:02:00,69.088,-134.6593,0.003901282,4
140,1046,M,20030701,20:03:00,69.088,-134.6593,0,4
141,1046,M,20030702,0:01:00,69.0878,-134.6545,0.004804165,4
142,1046,M,20030702,4:00:00,69.0876,-134.6518,0.002707397,4
143,1046,M,20030702,8:01:00,69.0885,-134.6549,0.003228002,4
144,1046,M,20030702,12:00:00,69.0912,-134.663,0.00853815,4
145,1046,M,20030702,16:01:00,69.0993,-134.6301,0.033882444,4
146,1046,M,20030702,20:00:00,69.0986,-134.6351,0.005048762,4
147,1046,M,20030703,0:01:00,69.0987,-134.629,0.00610082,4
148,1046,M,20030703,4:01:00,69.0993,-134.6298,0.001,4
149,1046,M,20030703,8:00:00,69.0998,-134.6249,0.004925444,4
150,1046,M,20030703,12:01:00,69.1257,-134.5543,0.075200864,4
151,1046,M,20030703,16:01:00,69.1491,-134.5349,0.030396052,4
152,1046,M,20030703,20:01:00,69.1585,-134.537,0.009631718,4
153,1046,M,20030704,0:01:00,69.1585,-134.5371,0.0001,4
154,1046,M,20030704,4:01:00,69.1585,-134.5371,0,4
155,1046,M,20030704,8:01:00,69.1804,-134.5148,0.0312554,4
156,1046,M,20030704,12:00:00,69.1898,-134.5297,0.017617321,4
157,1046,M,20030704,16:00:00,69.2023,-134.5671,0.039433615,4
158,1046,M,20030704,20:01:00,69.2129,-134.4953,0.072578234,4
159,1046,M,20030705,0:01:00,69.2331,-134.521,0.032688377,4
160,1046,M,20030705,4:01:00,69.233,-134.5199,0.001104536,4
161,1046,M,20030705,8:01:00,69.276,-134.5801,0.073979997,4
162,1046,M,20030705,12:02:00,69.3209,-134.5748,0.045211724,4
163,1046,M,20030705,16:01:00,69.3658,-134.4263,0.155139486,4
164,1046,M,20030706,0:01:00,69.3905,-134.3316,0.097868177,8
165,1046,M,20030706,8:01:00,69.4495,-134.3079,0.063582152,8
166,1046,M,20030706,12:00:00,69.481,-134.3228,0.034846234,4
167,1046,M,20030706,16:03:00,69.5118,-134.2298,0.097967546,4
168,1046,M,20030706,20:01:00,69.5609,-134.2837,0.072911042,4
169,1046,M,20030707,0:01:00,69.6216,-134.2873,0.060806661,4
170,1046,M,20030707,4:01:00,69.6316,-134.3122,0.026833002,4
171,1046,M,20030707,8:01:00,69.6333,-134.3126,0.001746425,4
172,1046,M,20030707,12:00:00,69.6438,-134.3218,0.013960301,4
173,1046,M,20030707,16:01:00,69.6716,-134.4137,0.09601276,4
174,1046,M,20030707,20:01:00,69.6716,-134.4137,0,4
175,1046,M,20030708,0:00:00,69.6738,-134.4557,0.04205758,4
176,1046,M,20030708,8:00:00,69.69,-134.4436,0.02022004,8
177,1046,M,20030708,12:01:00,69.6866,-134.4107,0.033075217,4
178,1046,M,20030708,16:00:00,69.6597,-134.3418,0.073964992,4
179,1046,M,20030708,20:01:00,69.6146,-134.2998,0.061627997,4
180,1046,M,20030709,0:03:00,69.5633,-134.2745,0.057199476,4
181,1046,M,20030709,4:01:00,69.5642,-134.2721,0.002563201,4
182,1046,M,20030709,8:00:00,69.5422,-134.2939,0.0309716,4
183,1046,M,20030709,12:00:00,69.4959,-134.2433,0.068586077,4
184,1046,M,20030709,16:02:00,69.5044,-134.2338,0.012747549,4
185,1046,M,20030709,20:01:00,69.5042,-134.2343,0.000538516,4
186,1046,M,20030710,0:00:00,69.5043,-134.2206,0.013700365,4
187,1046,M,20030710,4:00:00,69.5045,-134.2173,0.003306055,4
188,1046,M,20030710,8:01:00,69.4979,-134.1065,0.110996396,4
189,1046,M,20030710,12:00:00,69.4326,-134.1208,0.066847438,4
190,1046,M,20030710,16:01:00,69.3706,-134.0951,0.067115497,4
191,1046,M,20030710,20:02:00,69.3439,-134.1321,0.045627733,4
192,1046,M,20030711,0:01:00,69.3426,-134.1423,0.010282509,4
193,1046,M,20030711,4:01:00,69.3159,-134.1758,0.042838534,4
194,1046,M,20030711,8:01:00,69.2877,-134.1868,0.030269457,4
195,1046,M,20030711,12:00:00,69.274,-134.2043,0.022224761,4
196,1046,M,20030711,16:00:00,69.2738,-134.2062,0.001910497,4
197,1046,M,20030712,0:00:00,69.2639,-134.2401,0.035316002,8
198,1046,M,20030712,4:01:00,69.279,-134.3287,0.089877528,4
199,1046,M,20030712,8:00:00,69.2778,-134.3306,0.002247221,4
200,1046,M,20030712,12:00:00,69.2778,-134.3308,0.0002,4
201,1046,M,20030712,16:00:00,69.278,-134.3304,0.000447214,4
202,1046,M,20030713,0:00:00,69.2778,-134.3309,0.000538516,8
203,1046,M,20030713,4:00:00,69.2797,-134.3394,0.008709765,4
204,1046,M,20030713,8:00:00,69.2831,-134.3412,0.003847077,4
205,1046,M,20030713,12:00:00,69.285,-134.3416,0.001941649,4
206,1046,M,20030713,16:01:00,69.2853,-134.3406,0.001044031,4
207,1046,M,20030713,20:02:00,69.2849,-134.3423,0.001746425,4
208,1046,M,20030714,0:00:00,69.2848,-134.3376,0.004701064,4
209,1046,M,20030714,4:00:00,69.2871,-134.3382,0.002376973,4
210,1046,M,20030714,8:00:00,69.2879,-134.3341,0.00417732,4
211,1046,M,20030714,12:02:00,69.287,-134.3347,0.001081665,4
212,1046,M,20030714,16:01:00,69.2687,-134.3119,0.029235766,4
213,1046,M,20030715,0:02:00,69.2699,-134.3248,0.012955694,8
214,1046,M,20030715,4:01:00,69.283,-134.3392,0.019467152,4
215,1046,M,20030715,8:01:00,69.2838,-134.3389,0.0008544,4
216,1046,M,20030715,16:01:00,69.2851,-134.3411,0.002555386,8
217,1046,M,20030715,20:01:00,69.2851,-134.3411,0,4
218,1046,M,20030716,0:01:00,69.2845,-134.3377,0.003452535,4
219,1046,M,20030716,4:00:00,69.3017,-134.3438,0.018249658,4
220,1046,M,20030716,8:00:00,69.2781,-134.3301,0.027288276,4
221,1046,M,20030716,12:00:00,69.2778,-134.3308,0.000761577,4
222,1046,M,20030716,16:01:00,69.2779,-134.331,0.000223607,4
223,1046,M,20030716,20:00:00,69.2778,-134.3307,0.000316228,4
224,1046,M,20030717,0:00:00,69.2776,-134.3331,0.002408319,4
225,1046,M,20030717,4:01:00,69.2767,-134.3358,0.00284605,4
226,1046,M,20030717,8:00:00,69.2789,-134.3415,0.006109828,4
227,1046,M,20030717,12:00:00,69.2835,-134.3579,0.017032909,4
